duracion_min,edicion_horas,visitas,likes
8,3.6,1023,43
12,4.5,1992,101
20,3.8,1880,124
25,15.4,2433,127
16,7.8,1860,126
14,4.7,1796,81
7,1.2,2567,170
18,10.0,4739,277
19,4.3,1247,34
6,1.7,1187,62
10,1.8,1678,55
16,9.0,4819,241
12,5.1,4140,201
15,8.2,5992,301
10,3.6,21947,1483
23,3.0,1507,78
19,11.4,3169,196
23,5.5,8633,367
9,0.8,406,18
7,1.7,2214,96
16,1.6,1252,38
12,3.0,1200,82
22,10.5,2297,155
17,9.1,1811,81
5,3.0,3986,147
9,3.2,2307,153
17,12.2,4331,251
18,6.3,1271,46
23,10.7,2419,129
10,4.5,3212,217
4,0.8,851,26
20,8.9,4979,181
7,2.3,2363,148
11,3.3,1386,91
20,7.6,2102,113
19,5.6,999,38
19,5.3,656,27
8,2.9,1208,44
15,3.6,14886,886
18,4.4,2850,149
12,6.6,1437,43
18,5.7,21450,823
9,0.9,4557,269
15,5.1,2464,84
18,8.3,2022,82
20,4.6,3704,202
9,1.6,743,33
8,2.6,3026,129
27,9.3,2855,66
15,5.1,1011,48
20,16.6,2318,56
17,10.2,1503,84
19,7.1,3385,177
31,6.1,2721,145
14,4.5,1289,76
26,8.5,1687,66
13,5.1,2507,81
8,4.0,1873,78
12,3.3,1409,103
5,0.9,441,13
26,14.9,7037,446
13,5.1,744,36
18,6.4,2196,127
13,6.0,980,36
4,0.8,1191,40
5,1.5,1788,58
7,2.6,868,33
30,13.3,3785,153
18,5.8,4751,260
28,15.3,12532,762
28,13.5,5282,312
6,0.8,1740,48
27,13.8,1590,104
14,5.2,3978,124
18,6.3,1486,37
10,2.5,2644,190
12,5.9,4525,205
9,2.5,1744,89
18,3.6,637,30
9,1.2,2466,87
9,1.8,1982,65
18,6.4,1012,41
4,0.8,1499,52
11,0.8,741,36
20,5.3,1184,58
14,3.0,632,9
17,6.5,803,39
9,1.8,860,40
6,1.9,1488,54
15,6.0,4927,181
19,12.7,1255,54
20,6.8,2024,53
10,3.0,7158,443
15,2.6,1410,66
20,10.5,11101,813
8,2.1,955,48
16,5.0,1360,57
12,4.7,3238,88
14,2.9,1718,157
9,0.8,2262,119
