Duracion_minutos,Tiempo_edicion_horas,Numero_visitas,Numero_likes
12.48,14.62,2057,35
9.31,8.12,343,4
13.24,9.93,1677,24
17.62,16.12,874,24
8.83,13.18,1436,26
8.83,9.83,4414,108
17.9,18.9,241,7
13.84,16.7,1730,65
7.65,8.68,1478,17
12.71,19.1,861,36
7.68,16.87,3131,109
7.67,11.92,482,6
11.21,16.11,1533,68
1.0,1.73,110,5
1.38,1.11,852,10
7.19,9.13,320,6
4.94,6.6,5299,223
11.57,18.4,4815,192
5.46,9.64,4075,70
2.94,6.12,391,7
17.33,25.1,6243,154
8.87,7.53,544,15
10.34,10.48,9674,335
2.88,3.61,75,1
7.28,11.19,507,14
10.55,9.46,701,27
4.25,10.48,220,2
11.88,17.37,660,13
7.0,6.85,819,31
8.54,10.69,108,4
6.99,7.97,1014,30
19.26,31.03,22178,693
9.93,11.56,3353,47
4.71,6.34,181,5
14.11,12.53,467,14
3.9,7.91,890,17
11.04,11.45,227,4
1.0,3.11,4593,115
3.36,2.71,1462,15
10.98,12.67,575,13
13.69,19.44,431,7
10.86,8.93,4053,93
9.42,13.57,1572,23
8.49,11.06,4899,223
2.61,4.42,5,0
6.4,5.71,159,5
7.7,12.37,1619,67
15.29,15.66,1961,58
11.72,19.26,1221,16
1.18,3.93,842,26
11.62,14.19,707,23
8.07,5.78,244,9
6.62,10.37,1478,40
13.06,18.19,2873,43
15.15,13.21,2469,52
14.66,17.08,733,17
5.8,8.89,280,10
8.45,10.48,5220,171
11.66,12.68,2677,64
14.88,12.83,611,30
7.6,4.57,3763,128
9.07,12.75,1257,24
4.47,9.72,3688,51
4.02,5.45,513,8
14.06,12.07,9857,195
16.78,15.73,10822,177
9.64,14.76,831,14
15.02,21.47,8436,180
11.81,18.33,2535,42
6.77,8.84,1088,49
11.81,13.59,738,9
17.69,11.85,3139,97
9.82,8.05,3219,85
17.82,26.95,518,25
1.0,3.7,111,1
14.11,14.63,131,3
10.44,7.73,619,30
8.5,10.67,1492,66
10.46,8.45,5986,255
1.0,1.29,59,1
8.9,10.49,3242,54
11.79,14.22,317,11
17.39,20.08,403,19
7.41,11.94,862,27
5.96,10.84,987,32
7.49,7.9,882,18
14.58,13.09,181,7
11.64,14.89,1130,19
7.35,8.79,174,3
12.57,17.54,3653,98
10.49,13.74,937,28
14.84,18.36,442,8
6.49,6.01,144,2
8.36,7.91,237,8
8.04,12.35,1305,28
2.68,4.67,3131,104
11.48,18.53,851,13
11.31,11.99,1852,54
10.03,15.05,880,27
8.83,10.56,251,3
